nct_id,title,status,start_date,completion_date,lead_sponsor,sponsor_class,conditions,phase,enrollment,intervention_names,intervention_descriptions,target_antigen
NCT05800366,A Phase II Study of Glofitamab Plus Polatuzumab-R-CHP for Patients With High-risk Diffuse Large B-cell Lymphoma,RECRUITING,2023-04-06,2029-09-15,"Jennifer Crombie, MD",OTHER,"Lymphoma; Lymphoma, Large B-Cell, Diffuse",PHASE2,41.0,Glofitamab; Polatuzumab; Rituximab; Doxorubicin Hydrochloride; Cyclophosphamide; Prednisone,"human IgG1-bispecific antibody, via IV infusion | an antibody drug conjugate (ADC) that contains a humanized IgG1 anti-human CD79b monoclonal antibody, via IV infusion | Per standard care, via IV infusion | Per standard care, via IV infusion | Per standard care, via IV infusion | Per standard care, orally",CD79b
NCT05378737,"Evaluate the Safety, Tolerability and Pharmacokinetic Characteristics of BAT8006 for Injection",COMPLETED,2022-07-06,2025-12-08,Bio-Thera Solutions,INDUSTRY,Advanced Solid Tumors,PHASE1,216.0,BAT8006 for Injection,"Intravenous infusion, once every 3 weeks (Q3W), the recommended infusion time of the first cycle is ≥90 minutes, if no infusion reaction occurs, the subsequent cycle can be completed within 30\~120 minutes.",Unknown/Not Specified
NCT07151586,Testing Two Different Drugs (Sacituzumab-govitecan and Trastuzumab-deruxtecan) Combinations Prescribed in an Alterning Pattern to Patients With Metastatic or Locally Advanced Triple-negative Breast Cancer,NOT_YET_RECRUITING,2025-10,2029-10,UNICANCER,OTHER,Triple Negative Breast Neoplasms; Neoplasm Metastasis; HER 2 Low-expressing Breast Cancer,PHASE2,260.0,Sacituzumab Govitecan / Trastuzumab Deruxtecan,"Sacituzumab govitecan is administered intravenously at a dose of 10 mg/kg on Day 1 and Day 8 of each 3-week cycle. In this study, patients receive two cycles of sacituzumab govitecan followed by two cycles of trastuzumab deruxtecan, alternating throughout the study.

Trastuzumab deruxtecan is administered intravenously at a dose of 5.4 mg/kg on Day 1 of each 3-week cycle. In this study, patients receive two cycles of trastuzumab deruxtecan followed by two cycles of sacituzumab govitecan, alternating throughout the study.

Both Treatment are continued until disease progression as defined by RECIST 1.1, unacceptable toxicity, withdrawal of consent, or the end of the study.",Unknown/Not Specified
NCT02064387,"Dose Escalation Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics, Immunogenicity and Clinical Activity of GSK2857916",COMPLETED,2014-07-29,2019-08-01,GlaxoSmithKline,INDUSTRY,Multiple Myeloma,PHASE1,79.0,GSK2857916,A clear or opalescent solution for IV infusion with unit dose strength of 20 mg/mililiter (mL) for multiple dose levels.,Unknown/Not Specified
NCT03288545,A Study of Enfortumab Vedotin Alone or With Other Therapies for Treatment of Urothelial Cancer,TERMINATED,2017-10-11,2026-02-20,"Astellas Pharma Global Development, Inc.",INDUSTRY,"Carcinoma, Transitional Cell; Urinary Bladder Neoplasms; Urologic Neoplasms; Renal Pelvis Neoplasms; Urothelial Cancer; Ureteral Neoplasms; Urethral Neoplasms",PHASE1; PHASE2,348.0,enfortumab vedotin (EV); pembrolizumab; cisplatin; carboplatin; gemcitabine,Intravenous (IV) infusion on days 1 and 8 every 21 days | IV infusion on day 1 every 21 days | IV infusion on day 1 every 21 days | IV infusion on day 1 every 21 days | IV infusion on days 1 and 8 every 21 days,Unknown/Not Specified
NCT06921837,A First-in-Human Study Using BDC-4182 as a Single Agent in Advanced Gastric and Gastroesophageal Cancer,RECRUITING,2025-05-26,2029-05,"Bolt Biotherapeutics, Inc.",INDUSTRY,Gastric Cancer Adenocarcinoma Metastatic; Gastroesophageal Adenocarcinoma,PHASE1; PHASE2,122.0,BDC-4182,"Immune stimulating antibody conjugate (ISAC), consisting of an anti-claudin 18.2 monoclonal antibody conjugated to a TLR 7/8 dual agonist",Claudin18.2
NCT06041516,"A First-in-Human Phase I Trial With Antibody Drug Conjugate ADCT-701 in Neuroendocrine Tumors, Carcinomas and Malignant Peripheral Nerve Sheath Tumors",RECRUITING,2024-06-17,2029-10-30,National Cancer Institute (NCI),NIH,"Neuroendocrine Carcinomas; Neuroendocrine Tumors; Carcinoma, Neuroendocrine; Carcinoma, Adrenocortical; Carcinoma, Adrenal Cortical",PHASE1,70.0,ADCT-701,"ADCT-701 in 2microgram/kg-255microgram/kg (weight based dosing), IV over 30 minutes (+15 minutes)",Unknown/Not Specified
NCT05271604,A Phase 2 Open Label Study of BA3021 in Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,COMPLETED,2022-12-13,2025-09-22,"BioAtla, Inc.",INDUSTRY,Head and Neck Cancer; Squamous Cell Carcinoma of Head and Neck; Recurrent Squamous Cell Carcinoma of the Head and Neck; Metastatic Cancer; Metastatic Squamous Cell Carcinoma of the Head and Neck,PHASE2,42.0,Ozuriftamab Vedotin; Pembrolizumab; Evalstotug (BA3071); Cetuximab,Conditionally active biologic anti-ROR2 antibody drug conjugate | PD-1 inhibitor | Conditionally active biologic anti-CTLA-4 checkpoint blockade antibody | Epidermal growth factor receptor (EGFR) antagonist,EGFR
NCT07381075,A Phase II Clinical Trial of Anti-EGFR Antibody-drug Conjugate (ADC) Combined With or Without Immune Checkpoint Inhibitors in the Neoadjuvant Treatment of Resectable Locally Advanced Head and Neck Squamous Cell Carcinoma,NOT_YET_RECRUITING,2026-02-01,2029-06-01,West China Hospital,OTHER,Head and Neck Squamous Cell Carcinoma,PHASE2,120.0,Becotatug Vedotin; Becotatug Vedotin Combined with Penpulimab; Becotatug Vedotin Combined with Ivonescimab,"Subjects receive 3 cycles of Becotatug Vedotin (2.3mg/kg, ivgtt, every 3 weeks, D1). | Subjects receive 3 cycles of Becotatug Vedotin (2.3mg/kg, ivgtt, every 3 weeks, D1) and 3 cycles of Penpulimab (200mg, ivgtt, every 3 weeks, D1). | Subjects received 3 cycles of Becotatug Vedotin (2.3mg/kg, ivgtt, every 3 weeks, D1) and 3 cycles of Ivonescimab (10mg/kg, ivgtt, every 3 weeks, D1).",EGFR
NCT05263869,A Study of MRG002 in Treatment of Advanced HER-2 Positive Breast Cancer Patients,UNKNOWN,2022-03-23,2023-10,Shanghai Miracogen Inc.,INDUSTRY,Breast Cancer With Liver Metastases,PHASE2,99.0,MRG002,Administrated intravenously,HER2
