nct_id,title,intervention_names,intervention_descriptions
NCT00324831,"GM-CSF With or Without Vaccine Therapy After Combination Chemotherapy and Rituximab as First-Line Therapy in Treating Patients With Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma",autologous immunoglobulin idiotype-KLH conjugate vaccine; cyclophosphamide; doxorubicin hydrochloride; prednisone; rituximab; sargramostim; vincristine; Intervention/procedure; antibody therapy; biological therapy; chemotherapy; colony-stimulating factor therapy; cytokine therapy; monoclonal antibody therapy; non-specific immune-modulator therapy; therapeutic procedure; tumor cell derivative vaccine; vaccine therapy, |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
NCT05701527,A Study of EBC-129 in Advanced Solid Tumours,EBC-129; Pembrolizumab,"EBC-129 will be administered on Day 1 of each 21-Day cycle (Parts A, B, and C), and two doses starting from Day 1 for 21-day cycle and three doses starting from Day 1 for 28-day cycle (Part D) via a 30-120-minute intravenous (IV) fusion. | Pembrolizumab will be administered at the dose of 200 mg IV every 21 days."
NCT04309981,"Clinical Trial Using Humanized CART Directed Against BCMA (ARI0002h) in Patients With Relapsed/Refractory Multiple Myeloma to Proteasome Inhibitors, Immunomodulators and Anti-CD38 Antibody.",Adult differentiated autologous T-cells with anti-BCMA specificity,"After pretreatment, adult differentiated autologous T-cells with a chimeric antigen receptor with anti-BCMA specificity will be transfused."
NCT05245006,PET Imaging Study of 89Zr-DFO-YS5 in Men With Prostate Cancer,89Zr-DFO-YS5; YS5 antibody; Positron Emission Tomography (PET)/Computerized tomography (CT); Positron Emission Tomography (PET)/Magnetic Resonance Imaging (MRI),3 mCi will be administered intravenously | 20 or 50 mg administered intravenously | Imaging which combines a CT scan and a PET scan | Imaging which combines an MRI scan and a PET scan
NCT06809114,"FIH Study to Evaluate Safety, Tolerability, PK, PD & Preliminary Efficacy of AT03-65 With Advanced Solid Tumors",AT03-65,"Treatment will continue until disease progression, unacceptable toxicity, subject withdrawal of consent or death."
NCT07147348,"A First-in-human, Dose Escalation and Indication Expansion Study of BNT3212 as Monotherapy or in Combination With BNT327 in Adults With Advanced Solid Tumors",BNT3212; Pumitamig,Intravenous infusion | Intravenous infusion
NCT06034470,Combination Chemotherapy (FLAG-Ida) With Pivekimab Sunirine (PVEK) for the Treatment of Newly Diagnosed Adverse Risk Acute Myeloid Leukemia and Other High-Grade Myeloid Neoplasms,Biospecimen Collection; Bone Marrow Aspiration; Bone Marrow Biopsy; Cytarabine; Echocardiography; Fludarabine; Granulocyte Colony-Stimulating Factor; Idarubicin; Multigated Acquisition Scan; Pivekimab Sunirine,Undergo blood sample collection | Undergo bone marrow aspirate | Undergo bone marrow biopsy | Given IV | Undergo ECHO | Given IV | Given SC | Given IV | Undergo MUGA scan | Given IV
NCT03311828,Copper 64Cu-DOTA-Daratumumab Positron Emission Tomography in Diagnosing Patients With Relapsed Multiple Myeloma,Daratumumab; Imaging Agent; Positron Emission Tomography; Pharmacological Study,Given IV | Given Copper 64Cu-DOTA-daratumumab IV | Undergo PET | Correlative studies
NCT07299747,Clinical Trial of VBC103 in Patients With Advanced Malignant Solid Tumors,VBC103,VBC103
NCT05142189,"Clinical Trial Evaluating the Safety, Tolerability and Preliminary Efficacy of BNT116 Alone and in Combinations in Patients With Advanced Non-small Cell Lung Cancer",BNT116; Cemiplimab; Docetaxel; Carboplatin; Paclitaxel; BNT316; anti-B7-H3 antibody conjugated to topoisomerase I inhibitor; anti-HER3 antibody conjugated to topoisomerase I inhibitor; Bispecific antibody for PD-L1 and VEGF-A; Osimertinib; ALK-inhibitor or RET-inhibitor,Intravenous injection | Intravenous infusion | Intravenous infusion | Intravenous infusion | Intravenous infusion | Intravenous infusion | Intravenous infusion | Intravenous infusion | Intravenous infusion | Oral | Oral
NCT07402915,"Drug-drug Interaction Study With AZD5335 and Itraconazole in Participants With Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",AZD5335; Itraconazole,AZD5335 will be administered as IV infusion. | Itraconazole capsule will be administered orally.
NCT07070232,"A Clinical Study to Test if an Investigational Treatment Called BNT326 is Safe and Potentially Beneficial When Used Alone or in Combination With Other Investigational Treatments Such as BNT327, for People With Advanced Malignant Tumors",BNT326; Pumitamig; Itraconazole; Paroxetine,Intravenous (IV) infusion | IV infusion | Oral administration | Oral administration
NCT02864368,Peptide Targets for Glioblastoma Against Novel Cytomegalovirus Antigens,5-day TMZ; 21-day TMZ; PEP-CMV: Component A; Tetanus-Diphtheria booster; Tetanus Pre-Conditioning; PEP-CMV: Component B,"Chemotherapy agent FDA approved to treat newly-diagnosed glioblastoma given as cycles of 150-200 mg/m\^2/day on days 1-5 of each 28 day cycle | Chemotherapy agent FDA approved to treat newly-diagnosed glioblastoma given as cycles of dose-intensified TMZ (75-100 mg/m2/day on days 1-21 of each 28 day cycle) | 500 µg of PEP-CMV Component A (a synthetic long peptide) mixed with Montanide ISA-51 intradermally administered | At time of enrollment, after signing consent and undergoing immune monitoring blood work, patients will receive Tetanus-diphtheria booster vaccination with 0.5 mL of Td (tetanus, diphtheria toxoid, absorbed) | All patients will receive a tetanus pre-conditioning injection in the right groin intradermally on day 22 (±1 day) of the first post-radiation cycle of TMZ | 500 µg of PEP-CMV Component B (a neutralizing antibody epitope from human CMV glycoprotein B conjugated to Keyhole Limpet Hemocyanin) mixed in 150 µg of GM-CSF intradermally administered"
NCT06210815,A Study of HLX42 in Advanced/Metastatic Solid Tumors,HLX42,"HLX42 is an anti-EGFR monoclonal antibody conjugated with a novel high potency DNA topoisomerase I (topo I) inhibitor, with a drug-antibody-ratio (DAR) of 8."
NCT07374848,"Phase 1a/b Study of ZL-6201 Safety, PK, and Preliminary Efficacy in Sarcoma and Selected Tumors",ZL-6201,ZL-6201 as a single-agent
NCT03383692,Study of DS-8201a for Participants With Advanced Solid Malignant Tumors,DS-8201a; Ritonavir; Itraconazole,"DS-8201a is provided as a sterile lyophilized powder of DS-8201a in a glass vial, which will be dissolved and administered as an intravenous (IV) solution | Ritonavir is a OATP1B inhibitor; an antiretroviral tablet for oral administration | Itraconazole is a CYP3A inhibitor; an antifungal tablet for oral administration"
NCT01480583,GRN1005 Alone or in Combination With Trastuzumab in Breast Cancer Patients With Brain Metastases,GRN1005; Trastuzumab; 18F-FLT,550 mg/m2 IV every 3 weeks | 2 mg/kg IV every week or 6 mg/kg IV every 3 weeks per investigator choice | 5 mCi of 18F-FLT IV during Screening and during Cycle 1
NCT05511844,Study of ORM-5029 in Subjects With HER2-Expressing Advanced Solid Tumors,ORM-5029,Intravenous infusion
NCT01677390,A Phase 1b Study of SGN-75 in Combination With Everolimus in Patients With Renal Cell Carcinoma,SGN-75; everolimus,1-2 mg/kg IV every 21 days | 10 mg PO daily
NCT06907615,A Phase II Clinical Study to Evaluate HLX43 in Subjects With Advanced Non-small Cell Lung Cancer (NSCLC),HLX43 DOSE 1 (2.0 mg/kg); HLX43 DOSE 2 (2.5 mg/kg),"Dose 1; 2.0 mg/kg; HLX43 is an anti-PD-L1 monoclonal antibody conjugated with a novel high potency DNA topoisomerase I (topo I) inhibitor, with a drug-antibody-ratio (DAR) of 8. | Dose 2; 2.5 mg/kg; HLX43 is an anti-PD-L1 monoclonal antibody conjugated with a novel high potency DNA topoisomerase I (topo I) inhibitor, with a drug-antibody-ratio (DAR) of 8."
NCT02837991,"A Dose Escalation, Safety and Activity Study of CDX-014 in Patients With Renal Cell Carcinoma and Ovarian Clear Cell Carcinoma",CDX-014,
